location_id,location_name
1,業務Ⅱ部
2,芝ｽﾎﾟｰﾂｾﾝﾀｰ
3,新郷ｽﾎﾟｰﾂｾﾝﾀｰ
4,安行ｽﾎﾟｰﾂｾﾝﾀｰ
5,戸塚ｽﾎﾟｰﾂｾﾝﾀｰ
6,新郷給食ﾎﾞｲﾗｰ
7,南平給食ﾎﾞｲﾗｰ
8,南平学校給食ｾﾝﾀｰ
9,元郷学校給食ｾﾝﾀｰ
10,放置自転車
11,自転車撤去
12,戸塚駐輪場
13,東川口駐輪場
14,東川口地下駐輪場
15,栄町駐輪場
16,幸町駐輪場
17,川口東口地下駐輪場
18,川口西口駐輪場
19,西川口自転車保管所
20,芝樋ノ爪自転車保管所
21,青木公園
22,公民館
23,学校ﾄｲﾚ
24,芝生の霊園あさか野
25,ﾘﾌﾟﾚ
26,読売文化ｾﾝﾀｰ
27,ｵｰﾄﾚｰｽ場
28,ｵｰﾄｲﾍﾞﾝﾄﾎｰﾙ
29,川口市役所納税課
30,動物管理ｾﾝﾀｰ
31,ｺｰﾙｾﾝﾀｰ
32,東川口駅前行政ｾﾝﾀｰ
33,狂犬病予防受付
34,ﾏｲﾅﾝﾊﾞｰｺｰﾙｾﾝﾀｰ
35,芝支所窓口
36,校務員
37,夢工房
38,鳩ヶ谷れんげそう
39,横曽根れんげそう
40,神根福祉ｾﾝﾀｰ
41,第一工業
42,糸魚川整形外科
43,大口製本印刷
44,大口製本印刷東松山
45,草加SMC第1
46,草加SMC第2
47,八潮病院
48,今井病院
49,あさがお
50,看護大学さいたま
51,ｱﾗｼﾞﾝｲﾃﾞｱ
52,ｱｿﾌﾞｰﾝ
53,埼玉縣信用金庫
54,ｲﾝﾌｫﾙﾑ
55,応用計測ｻｰﾋﾞｽ
56,八洲電業
57,あおば学園
